season,player,team,targets,catch_targets,receptions,drops,season_yards,yac,tds,comp_perc,on_tgt_rate,yards_per_target,yards_per_rec,yards_per_game,broken_tackles,yards_after_contact,first_downs,first_down_perc,drop_rate,rec_rating
2020,Elijah Moore,Ole Miss,101,88,86,1,1193,528,8,85.15,98.80%,11.81,13.9,149.1,8,166,55,64,1.1,125.8
2020,DeVonta Smith,Alabama,148,130,117,3,1856,952,23,79.05,92.70%,12.54,15.9,142.8,3,271,85,72.6,2.3,155.5
2020,Jaelon Darden,North Texas,113,85,74,7,1190,576,19,65.49,90.00%,10.53,16.1,132.2,3,164,46,62.2,8.2,129.1
2020,D'Wayne Eskridge,Western Michigan,53,40,34,3,784,488,8,64.15,87.20%,14.79,23.1,130.7,2,156,26,76.5,7.5,147.2
2020,Marlon Williams,UCF,104,85,71,5,1039,457,10,68.27,86.40%,9.99,14.6,129.9,13,229,46,64.8,5.9,128.6
2020,Jerreth Sterns,Houston Baptist,50,39,37,2,361,200,4,74,94.90%,7.22,9.8,120.3,3,50,19,51.4,5.1,112.2
2020,Romeo Doubs,Nevada,93,72,60,6,1020,389,9,64.52,88.10%,10.97,17,113.3,3,79,39,65,8.3,129.3
2020,Jonathan Adams Jr.,Arkansas State,121,97,79,11,1111,254,12,65.29,82.60%,9.18,14.1,111.1,3,114,58,73.4,11.3,127.8
2020,Terrace Marshall Jr.,LSU,72,55,48,5,731,306,10,66.67,90.60%,10.15,15.2,104.4,3,112,34,70.8,9.1,133.7
2020,David Bell,Purdue,78,62,53,1,625,196,8,67.95,96.10%,8.01,11.8,104.2,4,142,30,56.6,1.6,126.3
2020,Chris Olave,Ohio State,60,55,50,1,729,181,7,83.33,95.70%,12.15,14.6,104.1,2,65,36,72,1.8,142.3
2020,Bailey Gaither,San Jose State,60,49,41,3,725,267,4,68.33,84.10%,12.08,17.7,103.6,1,65,23,56.1,6.1,124.7
2020,Jaquarii Roberson,Wake Forest,88,69,62,3,926,434,8,70.45,94.80%,10.52,14.9,102.9,5,181,43,69.4,4.3,120.7
2020,Khalil Shakir,Boise State,80,60,52,2,719,327,6,65,93.90%,8.99,13.8,102.7,6,113,31,59.6,3.3,108.3
2020,Tylan Wallace,Oklahoma State,93,67,59,1,922,311,6,63.44,93.70%,9.91,15.6,102.4,5,119,44,74.6,1.5,95.4
2020,Hassan Beydoun,Eastern Michigan,55,43,40,1,508,211,0,72.73,94.60%,9.24,12.7,101.6,0,54,26,65,2.3,86
2020,Dyami Brown,North Carolina,84,69,55,5,1099,286,8,65.48,80.00%,13.08,20,99.9,6,139,46,83.6,7.2,125.6
2020,Tyrice Richie,Northern Illinois,71,59,53,5,597,231,4,74.65,89.10%,8.41,11.3,99.5,4,101,31,58.5,8.5,118.1
2020,Dax Milne,BYU,94,78,70,3,1188,413,8,74.47,91.70%,12.64,17,99,2,165,52,74.3,3.8,140.2
2020,Jalen Tolbert,South Alabama,112,82,64,4,1085,297,8,57.14,83.30%,9.69,17,98.6,2,166,44,68.8,4.9,110.2
2020,Jahan Dotson,Penn State,87,61,52,3,884,390,8,59.77,90.60%,10.16,17,98.2,2,91,38,73.1,4.9,110.5
2020,Jaylon Robinson,UCF,89,65,55,4,979,354,6,61.8,91.50%,11,17.8,97.9,2,115,38,69.1,6.2,117.2
2020,Kyle Pitts,Florida,66,48,43,0,770,277,12,65.15,95.10%,11.67,17.9,96.3,3,111,39,90.7,0,144.6
2020,Calvin Austin III,Memphis,119,81,63,7,1053,370,11,52.94,84.50%,8.85,16.7,95.7,7,230,45,71.4,8.6,103.4
2020,Simi Fehoko,Stanford,59,43,37,5,574,206,3,62.71,86.00%,9.73,15.5,95.7,0,83,26,70.3,11.6,104.8
2020,Justin Hall,Ball State,63,53,49,2,665,494,4,77.78,94.00%,10.56,13.6,95,11,239,27,55.1,3.8,131.8
2020,Rashod Bateman,Minnesota,56,44,36,3,472,200,2,64.29,83.80%,8.43,13.1,94.4,4,67,24,66.7,6.8,80.4
2020,Treylon Burks,Arkansas,68,58,51,4,820,393,7,75,87.90%,12.06,16.1,91.1,6,176,34,66.7,6.9,149.1
2020,Garrett Wilson,Ohio State,61,49,43,3,723,247,6,70.49,95.10%,11.85,16.8,90.4,3,107,32,74.4,6.1,129.3
2020,Dahu Green,Arkansas State,55,35,32,2,542,97,5,58.18,100.00%,9.85,16.9,90.3,0,23,26,81.3,5.7,106.8
2020,Kadarius Toney,Florida,87,80,70,4,984,508,10,80.46,94.20%,11.31,14.1,89.5,12,189,47,67.1,5,133
2020,Ty Fryfogle,Indiana,70,50,37,3,713,242,7,52.86,78.70%,10.19,19.3,89.1,4,110,27,73,6,110
2020,Jalen Cropper,Fresno State,57,44,37,5,520,233,5,64.91,87.80%,9.12,14.1,86.7,3,70,28,75.7,11.4,116.1
2020,Jacob Cowing,UTEP,76,51,41,9,691,194,3,53.95,86.40%,9.09,16.9,86.4,0,56,29,70.7,17.6,92.6
2020,Amari Rodgers,Clemson,100,88,77,5,1020,618,7,77,89.20%,10.2,13.2,85,9,208,41,53.2,5.7,123.8
2020,Renard Bell,Washington State,48,38,33,4,337,123,2,68.75,90.90%,7.02,10.2,84.3,3,65,19,57.6,10.5,102.5
2020,Drake London,USC,48,36,33,1,502,185,3,68.75,91.40%,10.46,15.2,83.7,10,118,22,66.7,2.8,123.8
2020,Antonio Nunn,Buffalo,56,43,37,2,584,223,2,66.07,90.20%,10.43,15.8,83.4,3,130,21,56.8,4.7,97.6
2020,Jaivon Heiligh,Coastal Carolina,93,76,65,8,999,314,10,69.89,85.10%,10.74,15.4,83.3,3,148,48,73.8,10.5,136.4
2020,Sam Pinckney,Georgia State,73,51,46,0,815,261,7,63.01,97.70%,11.16,17.7,81.5,3,107,30,65.2,0,121.7
2020,Zay Flowers,Boston College,106,71,56,12,892,370,9,52.83,85.20%,8.42,15.9,81.1,3,119,30,53.6,16.9,97.7
2020,Amon-Ra St. Brown,USC,58,47,41,2,478,163,7,70.69,88.60%,8.24,11.7,79.7,0,56,28,68.3,4.3,120.5
2020,Tre Walker,San Jose State,73,55,45,6,625,290,4,61.64,87.50%,8.56,13.9,78.1,7,90,28,62.2,10.9,107.4
2020,Yo'Heinz Tyler,Ball State,72,56,42,8,607,200,8,58.33,80.40%,8.43,14.5,75.9,5,128,32,76.2,14.3,105.5
2020,Dez Fitzpatrick,Louisville,73,50,43,4,833,374,3,58.9,91.10%,11.41,19.4,75.7,4,100,34,79.1,8,95.3
2020,Gunner Romney,BYU,56,44,38,3,751,234,2,67.86,85.70%,13.41,19.8,75.1,3,143,22,57.9,6.8,122.6
2020,Erik Ezukanma,Texas Tech,78,55,46,5,748,270,6,58.97,86.30%,9.59,16.3,74.8,10,150,28,60.9,9.1,106.1
