player,headshot,team,my_prediction,edp_pred
DeVonta Smith,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4241478.png&w=350&h=254,Alabama,1,8
Ja'Marr Chase,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4362628.png&w=350&h=254,LSU,2.9,4
Rondale Moore,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4372485.png&w=350&h=254,Purdue,9.6,47
Josh Imatorbhebhe,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4035689.png&w=350&h=254,Illinois,22.8,257
Kadarius Toney,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4240600.png&w=350&h=254,Florida,48.7,24
Anthony Schwartz,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4371986.png&w=350&h=254,Auburn,71.4,257
Dyami Brown,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4361577.png&w=350&h=254,North Carolina,75.1,91
Tamorrion Terry,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4240028.png&w=350&h=254,Florida State,81.1,257
Tylan Wallace,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4241424.png&w=350&h=254,Oklahoma State,93.2,67
Elijah Moore,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4372414.png&w=350&h=254,Ole Miss,94.3,54
Ihmir Smith-Marsette,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4240573.png&w=350&h=254,Iowa,94.9,139
Jaelon Darden,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4243830.png&w=350&h=254,North Texas,102.1,257
Cornell Powell,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4035465.png&w=350&h=254,Clemson,102.2,132
Terrace Marshall Jr,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4362630.png&w=350&h=254,LSU,103.5,31
Amari Rodgers,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4239992.png&w=350&h=254,Clemson,117.7,95
Tutu Atwell,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360797.png&w=350&h=254,Louisville,118.1,84
Seth Williams,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4371974.png&w=350&h=254,Auburn,121.3,137
Rashod Bateman,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360939.png&w=350&h=254,Minnesota,123.2,34
Nico Collins,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4258173.png&w=350&h=254,Michigan,128,119
Sage Surratt,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4240432.png&w=350&h=254,Wake Forest,129.4,143
Amon-Ra St. Brown,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4374302.png&w=350&h=254,USC,145.6,78
Dez Fitzpatrick,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4036026.png&w=350&h=254,Louisville,157.3,257
Marquez Stevenson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4039307.png&w=350&h=254,Houston,158.3,257
Dazz Newsome,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4240661.png&w=350&h=254,North Carolina,160.9,257
Marlon Williams,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4257599.png&w=350&h=254,UCF,173.5,150
Jaylen Waddle,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4372016.png&w=350&h=254,Alabama,200,10
D'Wayne Eskridge,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4043016.png&w=350&h=254,Western Michigan,234.8,83
