"","player","team","seasons","total_targets","total_catchables","total_rec","total_drops","total_yards","total_yac","total_tds","comp_perc","on_tgt_rate","yards_per_target","yards_per_rec","yards_per_game","broken_tackles","total_first_downs","first_down_perc","drop_rate","rec_rating"
"1","A.J. Brown","Ole Miss",2,220,183,160,12,2572,675,17,72.915,88.8,11.76,16.075,107.15,31,91,57,6.75,127
"2","A.J. Richardson","Boise State",1,78,57,54,1,825,142,8,69.23,94.7,10.58,15.2777777777778,58.9,4,35,64.8,1.8,132.7
"3","Aaron Cephus","Rice",1,78,46,40,3,565,54,5,51.28,90.9,7.24,14.125,47.1,4,31,77.5,6.5,69.7
"4","Aaron Fuller","Washington",2,197,148,117,16,1576,208,10,59.685,80.65,7.975,13.4700854700855,60.45,7,75,64.15,10.85,89.55
"5","Aaron Peck","Fresno State",1,75,50,43,6,592,164,3,57.33,86,7.89,13.7674418604651,59.2,15,20,46.5,12,79.4
"6","Adam Breneman","UMASS",2,195,150,126,3,1436,167,10,64.625,84.6,7.37,11.3968253968254,65.3,4,77,61.15,2,88.75
"7","Adonis Jennings","Temple",1,78,57,42,5,742,90,7,53.85,77.4,9.51,17.6666666666667,57.1,4,24,57.1,8.8,100.5
"8","Adrian Hardy","Louisiana Tech",3,267,191,150,15,2119,483,11,55.6633333333333,85.3666666666667,7.68666666666667,14.1266666666667,68.1333333333333,21,106,69.9,6.96666666666667,81.2666666666667
"9","Ahmmon Richards","Miami FL",1,77,60,49,4,934,257,3,63.64,81.7,12.13,19.0612244897959,71.8,20,38,77.6,6.7,113.2
"10","Ainias Smith","Texas A&M",1,66,52,43,2,564,138,6,65.15,89.4,8.55,13.1162790697674,56.4,6,24,55.8,3.8,116
"11","AJ Coney","Akron",1,72,53,43,3,551,113,3,59.72,80.8,7.65,12.8139534883721,39.4,11,32,74.4,5.7,80.3
"12","Al Riles","Louisiana Lafayette",1,78,65,60,1,731,251,2,76.92,93.7,9.37,12.1833333333333,56.2,11,30,50,1.5,108.4
"13","Alevo Hifo","BYU",1,67,50,42,2,478,100,3,62.69,90.9,7.13,11.3809523809524,36.8,6,23,54.8,4,67.9
"14","Alfonso Onunwor","Idaho",1,113,80,64,6,860,183,8,56.64,81,7.61,13.4375,78.2,10,37,57.8,7.5,89.8
"15","Allen Lazard","Iowa State",2,253,184,140,21,1959,199,17,55.38,78.4,7.76,13.9928571428571,78.6,12,108,77.2,11.4,96.15
"16","Allenzae Staggers","Southern Mississippi",2,169,119,106,4,1636,210,12,62.385,92.1,9.53,15.4339622641509,66.6,10,64,59.2,3.15,103.95
"17","Amara Darboh","Michigan",1,102,68,57,4,862,118,7,55.88,83.8,8.45,15.1228070175439,66.3,6,37,64.9,5.9,102.7
"18","Amari Rodgers","Clemson",2,171,149,131,9,1590,407,11,76.53,89.6,9.115,12.1374045801527,61.5,17,63,46.95,6.15,117.8
"19","Amba Etta-Tawo","Syracuse",1,142,115,93,7,1483,341,14,65.49,84.4,10.44,15.9462365591398,123.6,20,56,60.2,6.1,115.4
"20","Ammon Barker","Hawaii",1,75,48,39,4,398,56,1,52,83,5.31,10.2051282051282,33.2,8,23,59,8.3,60.9
"21","Amon-Ra St. Brown","USC",3,254,203,178,10,2270,316,16,70,90.7333333333333,8.8,12.752808988764,74.1333333333333,14,106,60.9333333333333,4.8,103.6
"22","Andre Baccellia","Washington",1,70,58,55,0,584,103,0,78.57,100,8.34,10.6181818181818,41.7,4,30,54.5,0,89.5
"23","Andre Levrone","Virginia",1,76,46,34,9,689,36,7,44.74,75.6,9.07,20.2647058823529,53,2,23,67.6,19.6,102.4
"24","Andre Williams","Akron",1,89,59,46,5,649,44,6,51.69,83.6,7.29,14.1086956521739,59,2,31,67.4,8.5,79.3
"25","Andre Wilson","UAB",1,84,66,54,9,677,109,6,64.29,80,8.06,12.537037037037,52.1,19,34,63,13.6,103.1
"26","Andrew Meyer","Ohio",1,67,43,35,2,483,39,2,52.24,81,7.21,13.8,40.3,2,23,65.7,4.7,79.4
"27","Andrew Parchment","Kansas",2,165,108,89,11,1026,117,9,52.04,83.4,5.565,11.5280898876404,46.85,1,46,48.55,10.65,68.1
"28","Andy Isabella","UMASS",3,347,258,221,18,3396,525,29,62.8833333333333,86.3666666666667,9.45666666666667,15.3665158371041,96.0333333333333,25,139,62.0666666666667,6.66666666666667,113.866666666667
"29","Anthony Johnson","Buffalo",2,227,163,134,12,2374,448,25,58.925,86.05,10.445,17.7164179104478,95.7,33,94,69.7,7.15,116
"30","Anthony Miller","Memphis",2,286,227,191,20,2896,462,32,66.975,84.85,10.15,15.1623036649215,111.4,28,121,63.35,8.8,133
"31","Anthony Queeley","Syracuse",1,67,43,37,4,378,55,2,55.22,90,5.64,10.2162162162162,34.4,3,21,56.8,9.3,81.6
"32","Anthony Ratliff-Williams","North Carolina",2,154,102,77,10,1324,142,8,50.155,79.3,8.665,17.1948051948052,57.8,14,54,70.5,9.95,81.5
"33","Anthony Schwartz","Auburn",1,87,63,54,8,636,76,3,62.07,88.3,7.31,11.7777777777778,63.6,3,29,53.7,12.7,81.4
"34","Antoine Porter","Eastern Michigan",1,76,64,46,9,548,85,4,60.53,73,7.21,11.9130434782609,45.7,6,29,63,14.1,83.7
"35","Antoine Wesley","Texas Tech",1,125,99,88,4,1404,321,9,70.4,90.6,11.23,15.9545454545455,117,8,55,62.5,4,128.2
"36","Antonio Callaway","Florida",1,87,66,54,7,721,197,3,62.07,83.1,8.29,13.3518518518519,60.1,13,32,59.3,10.6,80.7
"37","Antonio Gandy-Golden","Liberty",2,269,175,149,12,2420,459,20,55.325,88.45,8.945,16.241610738255,100.15,30,112,75,6.85,99.2
"38","Antonio Nunn","Buffalo",2,146,106,85,9,1260,203,8,59.7,85.85,8.97,14.8235294117647,69.85,6,55,63.8,7.9,96.5
"39","Antwan Davis","Ball State",1,61,47,39,3,461,78,1,63.93,85.4,7.56,11.8205128205128,57.6,4,26,66.7,6.4,78.7
"40","Antwan Dixon","Kent State",1,79,61,52,6,525,100,2,65.82,86.7,6.65,10.0961538461538,43.8,5,24,46.2,9.8,93.1
"41","Ardarius Stewart","Alabama",1,82,61,54,4,864,205,8,65.85,90,10.54,16,72,21,29,53.7,6.6,108
"42","Arik Gilbert","LSU",1,55,44,35,2,368,81,2,63.64,89.5,6.69,10.5142857142857,46,7,24,68.6,4.5,80
"43","Aron Cruickshank","Rutgers",1,58,46,37,3,236,35,1,63.79,88.9,4.07,6.37837837837838,26.2,1,12,32.4,6.5,63.6
"44","Artavis Scott","Clemson",1,97,87,76,6,613,189,5,78.35,90.5,6.32,8.06578947368421,40.9,14,35,46.1,6.9,110.2
"45","Arthur Jackson III","Eastern Michigan",1,67,54,47,5,740,79,7,70.15,88.7,11.04,15.7446808510638,56.9,1,33,70.2,9.3,135.2
"46","Auden Tate","Florida State",1,67,45,40,1,548,74,10,59.7,90.9,8.18,13.7,45.7,6,27,67.5,2.2,100.6
"47","Austin Carr","Northwestern",1,133,101,90,3,1247,180,12,67.67,91.8,9.38,13.8555555555556,95.9,12,63,70,3,121.4
