team,player,seasons,total_targets,total_catchables,total_rec,total_drops,total_yards,total_yac,total_tds,comp_perc,on_tgt_rate,yards_per_target,yards_per_rec,yards_per_game,broken_tackles,total_first_downs,first_down_perc,drop_rate,rec_rating,round,pick,fourty_time,vertical,height,weight,is_power_five,total_epa,epa_per_rec
Western Michigan,Corey Davis,1,140,112,96,12,1473,330,19,68.57,86.5,10.52,15.34375,105.2,28,59,61.5,10.7,136.7,1,5,4.5,36.02,74.75,209,0,92.34856282,0.738788503
Clemson,Mike Williams,1,143,117,98,7,1361,246,11,68.53,86.7,9.52,13.8877551,90.7,19,64,65.3,6,109.9,1,7,4.53,36.02,75.75,218,1,73.81570134,0.488845704
Washington,John Ross,1,127,92,79,5,1143,170,16,62.2,88.8,9,14.46835443,81.6,19,51,64.6,5.4,127.7,1,9,4.22,37,70.75,188,1,60.12300494,0.484862943
Alabama,Henry Ruggs III,1,70,55,46,1,729,265,11,65.71,91.5,10.41,15.84782609,48.6,10,36,78.3,1.8,139.8,1,12,4.27,42,71,188,1,88.33788959,0.613457567
Alabama,Jerry Jeudy,2,213,165,145,10,2478,439,24,68.01,91.5,11.67,17.08965517,88.6,17,105,72.65,6.05,125.85,1,15,4.45,35,73,193,1,167.5651732,0.731725647
Oklahoma,CeeDee Lamb,3,254,203,173,12,3292,699,32,68.07,89.4,12.86333333,19.02890173,80.8,24,130,75.6,5.9,141.2,1,17,4.5,34.5,73.5,198,1,228.1169975,0.946543558
TCU,Jalen Reagor,2,229,144,115,15,1667,257,14,49.645,85,7.175,14.49565217,66.05,7,72,62.65,11.55,78.2,1,21,4.47,42,70.5,206,1,93.50472626,0.377035187
LSU,Justin Jefferson,2,225,189,165,11,2415,358,24,71.09,88.85,10.555,14.63636364,85,19,108,65.8,6.8,130.75,1,22,4.43,37.5,73.2,202,1,159.7888308,0.736354059
Maryland,D.J. Moore,2,213,147,121,10,1670,511,14,55.91,81.95,7.91,13.80165289,67.55,43,69,58,7.1,101.25,1,24,4.42,39.5,72,210,1,62.53289689,0.320681522
Arizona State,Brandon Aiyuk,1,104,72,65,5,1192,267,8,62.5,93.5,11.46,18.33846154,99.3,7,40,61.5,6.9,127.6,1,25,4.5,40,71.5,205,1,96.43010194,0.688786442
Oklahoma,Marquise Brown,2,190,158,132,15,2407,401,17,69.38,86.15,12.72,18.23484848,88.95,24,89,67.1,9.6,132.9,1,25,4.35,36.02,69.38,166,1,146.3984247,0.82246306
Alabama,Calvin Ridley,2,215,165,135,17,1743,194,12,62.855,83.75,8.23,12.91111111,60.4,17,80,59.65,10.3,101.2,1,26,4.43,31,72.5,189,1,65.28637346,0.309414092
